"Західний Лісостеп, східне Полісся, Карпати, гірський Крим, Дніпро, Дунай",1,Дніпро,1
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Дніпро,1
Україна,11,Дніпро,1
"Західний Лісостеп, східне Полісся, Карпати, гірський Крим, Дніпро, Дунай",1,Дунай,2
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Дунай,2
Україна,11,Закарпаття,3
Північне Полісся та Закарпаття,4,Закарпаття,3
Україна,11,Західний Лісостеп,4
Північний і західний Лісостеп,5,Західний Лісостеп,4
"Західний Лісостеп, східне Полісся, Карпати, гірський Крим, Дніпро, Дунай",1,Західний Лісостеп,4
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Західний Лісостеп,4
Україна,11,Західний Степ,5
Східний Лісостеп і Степ,9,Західний Степ,5
Південний захід Степу й північний схід Лісостепу,3,Західний Степ,5
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Західний Степ,5
Україна,11,Карпати,6
"Західний Лісостеп, східне Полісся, Карпати, гірський Крим, Дніпро, Дунай",1,Карпати,6
Україна,11,Крим,7
"Західний Лісостеп, східне Полісся, Карпати, гірський Крим, Дніпро, Дунай",1,Крим,7
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Крим,7
Україна,11,Південне Полісся,8
Правобережне Полісся,7,Південне Полісся,8
Україна,11,Південний Лісостеп,9
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Південний Лісостеп,9
Україна,11,Південний Степ,10
Східний Лісостеп і Степ,9,Південний Степ,10
Південний захід Степу й північний схід Лісостепу,3,Південний Степ,10
"Північний схід Степу, Приазов’я та Причорномор’я ",6,Південний Степ,10
Україна,11,Північне Полісся ,11
Північне Полісся та Закарпаття,4,Північне Полісся ,11
Правобережне Полісся,7,Північне Полісся ,11
Україна,11,Північний Лісостеп,12
Північний і західний Лісостеп,8,Північний Лісостеп,12
Південний захід Степу й північний схід Лісостепу,3,Північний Лісостеп,12
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Північний Лісостеп,12
Україна,11,Північний Степ,13
Східний Лісостеп і Степ,9,Північний Степ,13
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Північний Степ,13
Україна,11,Приазов'я,14
"Північний схід Степу, Приазов’я та Причорномор’я ",6,Приазов'я,14
"Приазов’я, Причорномор’я та центр східного Степу",8,Приазов'я,14
Україна,11,Приазов'я,15
"Північний схід Степу, Приазов’я та Причорномор’я ",6,Причорномор'я,15
"Приазов’я, Причорномор’я та центр східного Степу",8,Причорномор'я,15
Україна,11,Східне Полісся,16
Правобережне Полісся,7,Східне Полісся,16
"Західний Лісостеп, східне Полісся, Карпати, гірський Крим, Дніпро, Дунай",1,Східне Полісся,16
Україна,11,Східний Лісостеп,17
Східний Лісостеп і Степ,9,Східний Лісостеп,17
Південний захід Степу й північний схід Лісостепу,3,Східний Лісостеп,17
"Лісостеп, північний захід Степу, гірський Крим, Дніпро, Дунай",2,Східний Лісостеп,17
Україна,11,Східний Лісостеп,18
Східний Лісостеп і Степ,9,Східний Степ,18
"Північний схід Степу, Приазов’я та Причорномор’я ",6,Східний Степ,18
"Східний Степ, крім центру",10,Східний Степ,18
"Приазов’я, Причорномор’я та центр східного Степу",8,Східний Степ,18
